deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,31493.0,0.0,no missing data,31296.0,1e-10,6.8145e-06,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Density,density,kg m-3,pass,31493.0,0.0,no missing data,31296.0,2.53e-08,0.0002179195,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,31493.0,0.0,no missing data,31296.0,2.4e-09,0.0001173084,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Practical Salinity,practical_salinity,1,pass,31493.0,0.0,no missing data,31296.0,3.2e-09,0.0001510445,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,31493.0,0.0,no missing data,31296.0,0.0028606278,0.0206319466,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,20391.0,0.0,"{u'missing_data_gaps': [[u'2014-06-27T16:00:01', u'2014-07-02T20:00:01'], [u'2014-07-13T16:00:01', u'2014-07-18T20:00:01'], [u'2014-08-14T16:00:01', u'2014-08-19T20:00:01'], [u'2014-08-30T16:00:01', u'2014-09-04T20:00:01'], [u'2014-09-15T16:00:01', u'2014-09-20T20:00:01'], [u'2014-10-01T16:00:01', u'2014-10-06T20:00:01'], [u'2014-10-12T08:00:01', u'2014-10-22T20:00:01'], [u'2014-11-02T16:00:01', u'2014-11-07T20:00:01'], [u'2014-11-18T20:00:01', u'2014-11-21T16:00:01']], u'n_missing': [32, 31, 32, 32, 32, 32, 63, 32, 10], u'n_missing_total': 296}",618.0,0.0030950864,0.0035454077,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Density,density,kg m-3,pass,20391.0,0.0,"{u'missing_data_gaps': [[u'2014-06-27T16:00:01', u'2014-07-02T20:00:01'], [u'2014-07-13T16:00:01', u'2014-07-18T20:00:01'], [u'2014-08-14T16:00:01', u'2014-08-19T20:00:01'], [u'2014-08-30T16:00:01', u'2014-09-04T20:00:01'], [u'2014-09-15T16:00:01', u'2014-09-20T20:00:01'], [u'2014-10-01T16:00:01', u'2014-10-06T20:00:01'], [u'2014-10-12T08:00:01', u'2014-10-22T20:00:01'], [u'2014-11-02T16:00:01', u'2014-11-07T20:00:01'], [u'2014-11-18T20:00:01', u'2014-11-21T16:00:01']], u'n_missing': [32, 31, 32, 32, 32, 32, 63, 32, 10], u'n_missing_total': 296}",618.0,0.0239622035,0.0252620433,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,20391.0,0.0,"{u'missing_data_gaps': [[u'2014-06-27T16:00:01', u'2014-07-02T20:00:01'], [u'2014-07-13T16:00:01', u'2014-07-18T20:00:01'], [u'2014-08-14T16:00:01', u'2014-08-19T20:00:01'], [u'2014-08-30T16:00:01', u'2014-09-04T20:00:01'], [u'2014-09-15T16:00:01', u'2014-09-20T20:00:01'], [u'2014-10-01T16:00:01', u'2014-10-06T20:00:01'], [u'2014-10-12T08:00:01', u'2014-10-22T20:00:01'], [u'2014-11-02T16:00:01', u'2014-11-07T20:00:01'], [u'2014-11-18T20:00:01', u'2014-11-21T16:00:01']], u'n_missing': [32, 31, 32, 32, 32, 32, 63, 32, 10], u'n_missing_total': 296}",618.0,2.434e-07,8.51688e-05,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Practical Salinity,practical_salinity,1,pass,20391.0,0.0,"{u'missing_data_gaps': [[u'2014-06-27T16:00:01', u'2014-07-02T20:00:01'], [u'2014-07-13T16:00:01', u'2014-07-18T20:00:01'], [u'2014-08-14T16:00:01', u'2014-08-19T20:00:01'], [u'2014-08-30T16:00:01', u'2014-09-04T20:00:01'], [u'2014-09-15T16:00:01', u'2014-09-20T20:00:01'], [u'2014-10-01T16:00:01', u'2014-10-06T20:00:01'], [u'2014-10-12T08:00:01', u'2014-10-22T20:00:01'], [u'2014-11-02T16:00:01', u'2014-11-07T20:00:01'], [u'2014-11-18T20:00:01', u'2014-11-21T16:00:01']], u'n_missing': [32, 31, 32, 32, 32, 32, 63, 32, 10], u'n_missing_total': 296}",618.0,0.0311292461,0.0322446181,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,20391.0,0.0,"{u'missing_data_gaps': [[u'2014-06-27T16:00:01', u'2014-07-02T20:00:01'], [u'2014-07-13T16:00:01', u'2014-07-18T20:00:01'], [u'2014-08-14T16:00:01', u'2014-08-19T20:00:01'], [u'2014-08-30T16:00:01', u'2014-09-04T20:00:01'], [u'2014-09-15T16:00:01', u'2014-09-20T20:00:01'], [u'2014-10-01T16:00:01', u'2014-10-06T20:00:01'], [u'2014-10-12T08:00:01', u'2014-10-22T20:00:01'], [u'2014-11-02T16:00:01', u'2014-11-07T20:00:01'], [u'2014-11-18T20:00:01', u'2014-11-21T16:00:01']], u'n_missing': [32, 31, 32, 32, 32, 32, 63, 32, 10], u'n_missing_total': 296}",618.0,0.0028196405,0.0205026204,0.0
