deployment,file_downloaded,preferred_method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,mean,min,max,stdev,filename
deployment0001,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,31493,176,0,0,31317,32.4325,32.1345,32.729,0.0464,deployment0001_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0001,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,31493,0,0,0,31493,3.5226,3.1278,4.0382,0.1363,deployment0001_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0001,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,31493,0,0,0,31493,9.5895,4.7797,15.4239,1.5362,deployment0001_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0001,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,31493,5,0,0,31488,25.8035,21.5097,31.7033,1.4297,deployment0001_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0001,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,31493,14,0,0,31479,1025.1251,1023.8095,1026.3285,0.2672,deployment0001_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0002,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,20391,24,0,0,20367,32.428,31.9408,33.1212,0.0781,deployment0002_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20140617T170001-20150529T151501.nc
deployment0002,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,20391,24,0,0,20367,3.6173,3.1987,4.1093,0.2352,deployment0002_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20140617T170001-20150529T151501.nc
deployment0002,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,20391,0,0,0,20391,10.6548,5.1219,21.4036,2.7104,deployment0002_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20140617T170001-20150529T151501.nc
deployment0002,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,20391,57,0,0,20334,21.507,16.4243,27.6187,1.5227,deployment0002_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20140617T170001-20150529T151501.nc
deployment0002,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,20391,24,0,0,20367,1024.9,1023.7665,1026.7046,0.5307,deployment0002_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20140617T170001-20150529T151501.nc
