deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,valid_data_test,full_dataset_test,file_coordinates,coordinate_test,filename
deployment0001,2018-10-26T12:34:05,recovered_inst,ctdmo_ghqr_instrument_recovered,['recovered_host'],0 days 00:01:01,0 days 00:14:59,0,0,[],330,31493,329,39.0,25.7988,-13.2012,ctdmo_seawater_pressure,dbar,36,[],[],[],0,0,pass,{'>95': 5},pass,"[u'obs', u'time', u'pressure', u'lat', u'lon']",all expected coords listed,deployment0001_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0002,2018-10-26T12:34:05,recovered_inst,ctdmo_ghqr_instrument_recovered,['telemetered'],0 days 11:00:01,6 days 08:44:59,0,6,[0.6154],354,20391,238,39.0,21.5061,-17.4939,ctdmo_seawater_pressure,dbar,60,[],[],"[[u'2014-06-27T15:15:01', u'2014-07-02T23:45:01'], [u'2014-07-13T15:15:01', u'2014-07-18T23:45:01'], [u'2014-08-14T15:15:01', u'2014-08-19T23:45:01'], [u'2014-08-30T15:15:01', u'2014-09-04T23:45:01'], [u'2014-09-15T15:15:01', u'2014-09-20T23:45:01'], [u'2014-10-01T15:15:01', u'2014-10-06T23:45:01'], [u'2014-10-12T07:15:01', u'2014-10-22T23:45:01'], [u'2014-11-02T15:15:01', u'2014-11-07T23:45:01'], [u'2014-11-18T15:15:01', u'2014-11-23T23:45:01'], [u'2014-12-04T15:15:01', u'2014-12-09T23:45:01'], [u'2014-12-20T15:15:01', u'2015-01-10T23:45:01'], [u'2015-01-21T15:15:01', u'2015-02-01T07:45:01'], [u'2015-02-06T15:15:01', u'2015-02-11T23:45:01'], [u'2015-02-22T15:15:01', u'2015-02-27T23:45:01'], [u'2015-03-10T15:15:01', u'2015-03-15T23:45:01'], [u'2015-03-26T15:15:01', u'2015-04-06T07:45:01'], [u'2015-04-11T15:15:01', u'2015-04-16T23:45:01'], [u'2015-04-27T15:15:01', u'2015-05-02T23:45:01'], [u'2015-05-13T15:15:01', u'2015-05-18T23:45:01']]",19,126,pass,{'>95': 5},fail: data found in another stream (gaps: [9] days: [47]),"[u'obs', u'time', u'pressure', u'lat', u'lon']",all expected coords listed,deployment0002_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20140617T170001-20150529T151501.nc
deployment0003,2018-10-26T12:34:05,recovered_inst,ctdmo_ghqr_instrument_recovered,"['telemetered', 'recovered_host']",0 days 00:05:01,0 days 00:09:59,0,0,"[0.6529, 0.089]",389,37234,389,59.0,43.0764,-15.9236,ctdmo_seawater_pressure,dbar,49,[],[],[],0,0,pass,{'>95': 5},pass,"[u'obs', u'time', u'pressure', u'lat', u'lon']",all expected coords listed,deployment0003_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20150606T224501-20160628T190001.nc
deployment0004,2018-10-26T12:34:05,recovered_inst,ctdmo_ghqr_instrument_recovered,"['telemetered', 'recovered_host']",0 days 00:08:01,0 days 00:12:59,0,0,"[1.1589, 0.5585, 0.5065]",383,36728,383,,52.1856,no deploy depth in AM,ctdmo_seawater_pressure,dbar,212,[],[],[],0,0,pass,{'>95': 5},pass,"[u'obs', u'time', u'pressure', u'lat', u'lon']",all expected coords listed,deployment0004_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0005,2018-10-26T12:34:05,recovered_inst,ctdmo_ghqr_instrument_recovered,['recovered_host'],0 days 00:00:01,0 days 00:13:59,0,0,"[9.0637, 9.6685, 9.7153, 10.2218]",380,36381,380,,50.5905,no deploy depth in AM,ctdmo_seawater_pressure,dbar,126,[],[],[],0,0,pass,{'>95': 5},pass,"[u'obs', u'time', u'pressure', u'lat', u'lon']",all expected coords listed,deployment0005_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
