deployment,file_downloaded,preferred_method,stream,deploy_start,data_start,time_delta_start,deploy_stop,data_stop,time_delta_stop,n_timestamps,deploy_depth,pressure_mean,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,missing_vars_file,missing_vars_db,time_gaps,ascending_timestamp_test,unique_timestamp_test,filename
deployment0001,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,2013-07-21T22:44:00,2013-07-21T22:45:01,0 days 00:01:01,2014-06-15T00:00:00,2014-06-14T23:45:01,0 days 00:14:59,31493,39.0,25.7988,-13.2012,ctdmo_seawater_pressure,dbar,36,[],[],[],pass,pass,deployment0001_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0002,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,2014-06-17T06:00:00,2014-06-17T17:00:01,0 days 11:00:01,2015-06-05T00:00:00,2015-05-29T15:15:01,6 days 08:44:59,20391,39.0,21.5061,-17.4939,ctdmo_seawater_pressure,dbar,60,[],[],"[[u'2014-06-27T15:15:01', u'2014-07-02T23:45:01'], [u'2014-07-13T15:15:01', u'2014-07-18T23:45:01'], [u'2014-08-14T15:15:01', u'2014-08-19T23:45:01'], [u'2014-08-30T15:15:01', u'2014-09-04T23:45:01'], [u'2014-09-15T15:15:01', u'2014-09-20T23:45:01'], [u'2014-10-01T15:15:01', u'2014-10-06T23:45:01'], [u'2014-10-12T07:15:01', u'2014-10-22T23:45:01'], [u'2014-11-02T15:15:01', u'2014-11-07T23:45:01'], [u'2014-11-18T15:15:01', u'2014-11-23T23:45:01'], [u'2014-12-04T15:15:01', u'2014-12-09T23:45:01'], [u'2014-12-20T15:15:01', u'2015-01-10T23:45:01'], [u'2015-01-21T15:15:01', u'2015-02-01T07:45:01'], [u'2015-02-06T15:15:01', u'2015-02-11T23:45:01'], [u'2015-02-22T15:15:01', u'2015-02-27T23:45:01'], [u'2015-03-10T15:15:01', u'2015-03-15T23:45:01'], [u'2015-03-26T15:15:01', u'2015-04-06T07:45:01'], [u'2015-04-11T15:15:01', u'2015-04-16T23:45:01'], [u'2015-04-27T15:15:01', u'2015-05-02T23:45:01'], [u'2015-05-13T15:15:01', u'2015-05-18T23:45:01']]",pass,pass,deployment0002_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20140617T170001-20150529T151501.nc
deployment0003,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,2015-06-06T22:40:00,2015-06-06T22:45:01,0 days 00:05:01,2016-06-28T19:10:00,2016-06-28T19:00:01,0 days 00:09:59,37234,59.0,43.0764,-15.9236,ctdmo_seawater_pressure,dbar,49,[],[],[],pass,pass,deployment0003_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20150606T224501-20160628T190001.nc
deployment0004,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,2016-07-01T01:07:00,2016-07-01T01:15:01,0 days 00:08:01,2017-07-18T15:13:00,2017-07-18T15:00:01,0 days 00:12:59,36728,,52.1856,no_deploy_depth,ctdmo_seawater_pressure,dbar,212,[],[],[],pass,pass,deployment0004_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0005,2018-10-01T15:07:38,recovered_inst,ctdmo_ghqr_instrument_recovered,2017-07-13T23:00:00,2017-07-13T23:00:01,0 days 00:00:01,2018-07-27T22:14:00,2018-07-27T22:00:01,0 days 00:13:59,36381,,50.5905,no_deploy_depth,ctdmo_seawater_pressure,dbar,126,[],[],[],pass,pass,deployment0005_GP03FLMA-RIM01-02-CTDMOG041-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
deployment0006,2018-10-01T15:07:48,telemetered,ctdmo_ghqr_sio_mule_instrument,2018-07-23T22:54:00,2018-07-24T00:00:01,0 days 01:06:01,None,2018-08-16T08:00:01,no end date in asset management,141,,42.124,no_deploy_depth,ctdmo_seawater_pressure,dbar,0,[],[],[],pass,pass,deployment0006_GP03FLMA-RIM01-02-CTDMOG041-telemetered-ctdmo_ghqr_sio_mule_instrument_20180724T000001-20180816T080001.nc
