deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0002,2018-11-27T03:21:18,recovered_inst,ctdbp_cdef_instrument_recovered,"['recovered_host', 'telemetered']",0 days 00:38:03,31 days 23:59:57,0,31,[],339,7349,308,130,130.86,190.38,0.86,ctdbp_seawater_pressure,dbar,47,3600,"{'n_unique_rates': 27, 'common_sampling_rates': {'3600': '99.24%'}}",[],[],[],0,0,pass,5,{'99': 5},{'99': 10},pass,pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0002_GI01SUMO-RII11-02-CTDBPP033-recovered_inst-ctdbp_cdef_instrument_recovered_20150815T200003-20160617T000003
deployment0003,2018-11-27T03:21:18,recovered_inst,ctdbp_cdef_instrument_recovered,"['recovered_host', 'telemetered']",0 days 00:16:03,91 days 11:32:57,0,91,[6.0415],401,7392,309,130,134.51,137.85,4.51,ctdbp_seawater_pressure,dbar,116,3600,"{'n_unique_rates': 39, 'common_sampling_rates': {'3600': '98.84%'}}",[],[],[],0,0,pass,5,{'99': 5},{'99': 10},pass,pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0003_GI01SUMO-RII11-02-CTDBPP033-recovered_inst-ctdbp_cdef_instrument_recovered_20160710T180003-20170514T220003
deployment0004,2018-11-27T03:23:00,telemetered,ctdbp_p_dcl_instrument,[],0 days 00:43:03,245 days 00:01:57,0,245,"[5.5968, 1.3947]",314,1613,69,130,130.61,132.65,0.61,pressure,dbar,19,3600,"{'n_unique_rates': 8, 'common_sampling_rates': {'3600': '99.07%'}}",[],[],[],0,0,pass,5,{'99': 5},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0004_GI01SUMO-RII11-02-CTDBPP033-telemetered-ctdbp_p_dcl_instrument_20170805T190003-20171012T080003
