common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev
dosta_abcdjm_instrument,['recovered_host-dosta_abcdjm_dcl_instrument_recovered'],"[1, 2, 3]",DO,['µmol L-1'],2015-03-15T21:30:09,2017-08-12T23:48:02,[-9999999.0],"[0.0, 400.0]",5492803,0,0,0,6,3,5492798,327.8504,282.515,381.319,19.4523
dosta_abcdjm_instrument,['recovered_host-dosta_abcdjm_dcl_instrument_recovered'],"[1, 2, 3]",DO - Pressure Temp Sal Corrected,['µmol kg-1'],2015-03-15T21:30:09,2017-01-08T23:33:00,[-9999999.0],"[0.0, 400.0]",5492803,0,1618623,0,6,2,3874178,252.9212,188.3659,294.3128,13.8157
dosta_abcdjm_instrument,['recovered_host-dosta_abcdjm_dcl_instrument_recovered'],"[1, 2, 3]",DO - Temp Corrected,['µmol L-1'],2015-03-15T21:30:09,2017-08-12T23:48:02,[-9999999.0],"[0.0, 400.0]",5492803,0,0,0,6,11,5492788,323.5984,236.807,377.3756,16.5952
dosta_abcdjm_instrument,['recovered_host-dosta_abcdjm_dcl_instrument_recovered'],"[1, 2, 3]",Dissolved Oxygen Saturation,['percent'],2015-03-15T21:30:09,2017-08-12T23:48:02,[-9999999.0],"[0.0, 110.0]",5492803,0,0,0,6,6,5477497,97.7778,86.871,110.0,4.6475
dosta_abcdjm_instrument,['recovered_host-dosta_abcdjm_dcl_instrument_recovered'],"[1, 2, 3]",Optode Temperature,['ºC'],2015-03-15T21:30:09,2017-08-12T23:48:02,[-9999999.0],"[-2.0, 40.0]",5492803,0,0,0,6,7,5492793,12.251,1.637,18.246,1.9818
