dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(-1, 0]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",   0.000000,,,,,,,
"(0, 1]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",2215.000000, 195.668398,  91.064187,   2.337042, 122.600268, 207.033780, 266.165511, 385.954624
"(1, 2]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",10176.000000, 181.017481,  82.792167,   2.163839, 115.663415, 178.844454, 258.482517, 376.277741
"(2, 3]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",8419.000000, 176.791098,  83.611621,   1.741073, 111.425161, 171.841270, 256.192767, 376.137558
"(3, 4]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7952.000000, 174.218763,  84.039987,   1.925150, 107.792384, 169.736645, 254.417867, 374.137515
"(4, 5]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7755.000000, 171.658584,  84.073646,   1.882604, 104.862124, 166.798170, 253.469978, 372.915349
"(5, 6]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7654.000000, 169.327311,  84.296425,   1.860357, 101.123038, 163.667571, 251.526111, 372.285343
"(6, 7]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7385.000000, 166.684524,  84.186357,   1.807177,  98.119834, 160.572945, 248.578345, 372.113481
"(7, 8]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7155.000000, 164.850192,  84.402828,   1.759587,  95.118668, 158.193970, 246.639308, 371.147510
"(8, 9]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6983.000000, 161.678118,  84.030428,   1.705344,  92.051325, 152.117083, 242.265185, 370.138639
"(9, 10]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7003.000000, 159.342717,  85.025923,   1.656752,  88.308432, 151.457078, 239.453171, 369.607155
"(10, 11]",DO - Pressure Temp Sal Corrected,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6765.000000, 159.226920,  83.648072,   1.632432,  89.078759, 149.181346, 236.600009, 369.028682
