dofst_k_oxygen_l2-dbar,count,mean,std,min,25%,50%,75%,max
"(47, 48]",10189.000000, 251.732133,  18.709754, 179.506097, 239.732851, 251.708415, 265.493557, 301.389695
"(48, 49]",10103.000000, 251.087714,  18.604972, 174.446347, 238.935106, 251.065502, 264.448924, 301.171538
"(49, 50]",10056.000000, 250.374349,  18.514735, 173.270850, 237.803958, 250.577683, 263.531166, 301.254188
"(50, 51]",10094.000000, 249.492477,  18.456720, 172.812659, 236.568953, 249.364473, 262.248280, 301.074377
"(51, 52]",10127.000000, 248.721008,  18.334734, 172.442144, 235.913053, 248.368536, 261.312856, 300.967187
"(52, 53]",10067.000000, 247.964677,  18.387383, 171.663090, 234.771889, 247.695302, 260.653361, 299.838849
"(53, 54]",10038.000000, 247.167883,  18.327258, 170.461681, 234.016840, 246.856971, 259.761443, 299.322770
"(54, 55]",10064.000000, 246.319576,  18.287115, 170.328368, 233.073614, 246.040678, 258.848855, 298.999769
"(55, 56]",10123.000000, 245.489295,  18.319250, 169.824738, 232.315322, 245.352806, 257.884749, 299.163825
"(56, 57]",10075.000000, 244.599128,  18.429681, 169.994821, 231.560913, 244.666089, 257.215448, 298.722851
"(57, 58]",10034.000000, 243.569230,  18.531809, 169.568041, 230.837685, 244.005109, 256.255968, 298.288918
"(58, 59]",10108.000000, 242.772718,  18.556717, 167.067111, 230.249859, 243.311821, 255.626269, 297.357278
"(59, 60]",9929.000000, 241.754620,  18.872024, 165.111823, 229.400097, 242.560855, 254.613735, 295.357308
"(60, 61]",9889.000000, 240.895245,  18.883897, 165.022171, 228.843888, 241.937274, 253.679546, 293.149474
"(61, 62]",9978.000000, 239.932650,  19.094120, 165.113776, 228.036724, 241.160912, 253.046436, 291.049508
"(62, 63]",9991.000000, 239.079267,  19.308586, 164.375695, 227.282023, 240.476736, 252.369135, 287.667983
"(63, 64]",9973.000000, 238.134341,  19.530551, 163.633003, 226.121573, 239.571628, 251.552155, 284.969263
"(64, 65]",9953.000000, 237.247669,  19.868026, 162.922053, 225.296530, 238.791872, 250.856758, 284.564568
"(65, 66]",9893.000000, 236.176904,  20.149932, 162.503529, 224.091756, 237.464412, 250.187493, 284.582923
"(66, 67]",9925.000000, 235.091613,  20.498987, 161.548240, 223.091728, 236.304285, 249.106074, 284.585033
"(67, 68]",9998.000000, 234.232998,  20.701589, 159.092284, 222.123602, 235.550786, 248.498239, 284.474834
"(68, 69]",10050.000000, 233.226518,  20.995974, 156.581022, 220.968291, 234.559016, 247.662218, 283.974661
"(69, 70]",10237.000000, 232.624140,  21.365776, 153.727557, 220.269756, 234.034877, 247.567117, 283.771285
"(70, 71]",9847.000000, 230.731088,  21.709209, 152.465374, 218.099704, 232.054586, 245.370192, 284.043639
"(71, 72]",9812.000000, 229.481928,  22.148672, 151.731411, 216.706185, 231.010247, 244.267929, 284.162161
"(72, 73]",9726.000000, 228.251570,  22.571577, 151.186473, 215.281476, 230.068455, 243.352814, 283.924778
"(73, 74]",9922.000000, 227.412086,  22.818212, 151.206591, 214.106157, 229.480599, 242.734836, 283.839006
"(74, 75]",9852.000000, 226.089110,  23.243499, 150.751790, 211.985548, 228.341824, 242.305858, 283.659530
"(75, 76]",9808.000000, 224.762714,  23.719239, 150.394198, 209.952313, 227.182679, 241.377982, 283.323590
"(76, 77]",9848.000000, 223.549675,  24.053210, 149.946055, 208.408666, 226.464655, 240.434999, 283.366419
"(77, 78]",9794.000000, 222.082341,  24.500628, 149.863470, 206.580755, 224.875146, 239.742990, 283.558840
"(78, 79]",9813.000000, 221.143562,  24.962609, 149.531677, 204.422728, 224.372103, 239.456289, 283.033144
"(79, 80]",9822.000000, 219.861291,  25.269330, 148.973819, 202.279982, 223.146546, 239.032549, 283.112454
"(80, 81]",9789.000000, 218.813511,  25.756458, 148.626038, 200.443051, 222.119009, 238.670404, 283.140836
"(81, 82]",9772.000000, 217.525382,  26.168727, 147.258151, 197.866929, 220.842000, 237.737341, 282.562153
"(82, 83]",9738.000000, 215.965979,  26.560547, 146.539122, 194.628080, 219.378317, 236.347051, 282.233657
"(83, 84]",9681.000000, 214.939501,  26.905956, 146.062921, 193.091404, 217.954687, 235.569707, 281.718877
"(84, 85]",9629.000000, 213.122299,  27.135652, 145.506454, 190.871658, 215.951297, 233.811560, 281.589551
"(85, 86]",9585.000000, 211.895011,  27.508400, 144.954713, 188.933267, 214.559184, 233.001964, 280.058789
"(86, 87]",9601.000000, 210.391816,  27.873745, 144.886240, 186.994825, 212.981951, 232.470280, 279.875471
"(87, 88]",9690.000000, 209.018283,  28.087096, 144.215952, 184.789172, 211.288560, 231.710037, 280.093901
"(88, 89]",9930.000000, 208.364546,  28.397100, 144.220957, 183.249548, 210.259394, 232.028864, 279.564214
"(89, 90]",9643.000000, 206.714547,  28.742741, 144.258897, 181.047673, 207.879686, 230.792190, 279.187981
"(90, 91]",9586.000000, 205.177036,  28.806006, 144.130397, 179.006150, 205.681971, 229.560355, 279.302726
"(91, 92]",9495.000000, 203.785833,  28.987958, 144.288503, 176.698069, 203.766706, 228.374232, 279.937450
"(92, 93]",9778.000000, 202.934875,  29.238329, 144.346536, 175.643006, 202.108781, 227.855046, 279.874621
"(93, 94]",9733.000000, 202.235962,  29.626987, 144.360853, 174.306602, 200.948550, 227.939882, 279.521145
