deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-08-14T19:29:38,recovered_inst,adcp_velocity_earth,[],0 days 00:15:00,0 days 00:08:00,0,0,[],162,7724,162,87,,,,,pressure,daPa,,1800,"{'n_unique_rates': 1, 'common_sampling_rates': {'1800': '100.00%'}}",[],[],[],0,0,pass,16,"{'99': 15, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,['Pressure variable all fill values'],deployment0001_CE07SHSM-MFD35-04-ADCPTC000-recovered_inst-adcp_velocity_earth_20150415T173000-20150923T150000
deployment0002,2019-08-14T19:29:38,recovered_inst,adcp_velocity_earth,[],0 days 00:13:00,0 days 00:06:39,0,0,[0.2762],214,20469,214,87,,,,,pressure,daPa,,900,"{'n_unique_rates': 2, 'common_sampling_rates': {'900': '100.00%'}}",[],[],[],0,0,pass,16,"{'99': 11, '95': 4, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,['Pressure variable all fill values'],deployment0002_CE07SHSM-MFD35-04-ADCPTC000-recovered_inst-adcp_velocity_earth_20151013T171500-20160513T220821.950000
deployment0003,2019-08-14T19:29:38,recovered_inst,adcp_velocity_earth,"['recovered_host', 'telemetered']",0 days 00:07:00,0 days 00:02:00,0,0,"[0.4415, 0.2223]",146,13923,146,87,,,,,pressure,daPa,,900,"{'n_unique_rates': 1, 'common_sampling_rates': {'900': '100.00%'}}",[],[],[],0,0,pass,16,"{'99': 15, '0': 1}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,['Pressure variable all fill values'],deployment0003_CE07SHSM-MFD35-04-ADCPTC000-recovered_inst-adcp_velocity_earth_20160505T191500-20160927T194500
deployment0004,2019-08-14T19:29:38,recovered_inst,adcp_velocity_earth,"['recovered_host', 'telemetered']",0 days 00:03:00,0 days 00:07:00,0,0,"[0.0222, 0.2894, 0.4607]",206,19684,206,87,,,,,pressure,daPa,,900,"{'n_unique_rates': 1, 'common_sampling_rates': {'900': '100.00%'}}",[],[],[],0,0,pass,16,"{'99': 13, '95': 2, '0': 1}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,['Pressure variable all fill values'],deployment0004_CE07SHSM-MFD35-04-ADCPTC000-recovered_inst-adcp_velocity_earth_20160920T223000-20170413T231500
deployment0005,2019-08-14T19:29:48,telemetered,adcp_velocity_earth,[],0 days 00:41:47,119 days 20:53:11,0,119,"[0.2455, 0.1709, 0.2098, 0.2668]",179,1104,49,89,,,,,pressure,daPa,,3600,"{'n_unique_rates': 4, 'common_sampling_rates': {'3599': '10.34%', '3600': '89.48%'}}",[],[],"[['2017-04-14T02:32:48', '2017-04-16T04:32:48'], ['2017-05-29T17:32:54', '2017-06-08T17:32:57']]",2,12,pass,16,"{'99': 15, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,['Pressure variable all fill values'],deployment0005_CE07SHSM-MFD35-04-ADCPTC000-telemetered-adcp_velocity_earth_20170411T183247.893000-20170608T173257.702000
deployment0006,2019-08-14T19:29:38,recovered_inst,adcp_velocity_earth,"['recovered_host', 'telemetered']",0 days 00:12:37,0 days 00:10:52,0,0,"[0.1821, 0.4583, 0.6109, 0.1709, 0.4041]",178,16992,178,87,,,,,pressure,daPa,,900,"{'n_unique_rates': 2, 'common_sampling_rates': {'900': '99.99%'}}",[],[],[],0,0,pass,16,"{'99': 13, '95': 2, '0': 1}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,['Pressure variable all fill values'],deployment0006_CE07SHSM-MFD35-04-ADCPTC000-recovered_inst-adcp_velocity_earth_20171003T162815.980000-20180329T160908.950000
deployment0007,2019-08-14T19:29:29,recovered_host,adcp_velocity_earth,['telemetered'],0 days 01:49:57,0 days 01:33:51,0,0,"[0.2694, 0.1012, 0.1732, 0.288, 0.0769, 0.4433]",180,1390,150,87,,,,,pressure,daPa,,"no consistent sampling rate: {3599: '37.22%', 10799: '30.89%', 21599: '11.88%'}","{'n_unique_rates': 36, 'common_sampling_rates': {'3599': '37.22%', '10799': '30.89%', '21599': '11.88%'}}",[],[],"[['2018-03-31T20:32:51', '2018-04-04T07:32:47'], ['2018-04-25T00:32:26', '2018-05-23T20:31:58']]",2,31,pass,16,"{'99': 15, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,['Pressure variable all fill values'],deployment0007_CE07SHSM-MFD35-04-ADCPTC000-recovered_host-adcp_velocity_earth_20180325T203257.982000-20180920T183009.132000
