deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-12-04T19:39:32,streamed,horizontal_electric_field,[],1 days 07:02:51,18 days 03:39:04,1,18,[],330,10866984,290,2900,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '98.26%'},"{'n_unique_rates': 64, 'common_sampling_rates': {'0': '98.26%'}}",[],[],"[['2014-09-03T17:29:11', '2014-09-17T23:17:48'], ['2014-11-04T16:04:03', '2014-11-05T18:03:59'], ['2014-11-14T18:34:30', '2014-11-17T18:00:31'], ['2014-12-07T20:59:32', '2014-12-11T22:53:38'], ['2015-02-01T20:36:05', '2015-02-03T09:58:02'], ['2015-03-07T22:59:37', '2015-03-09T07:39:39']]",6,23,unique and ascending not tested,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time']","missing: ['pressure', 'lon', 'lat']",[],deployment0001_RS01SLBS-LJ01A-05-HPIESA101-streamed-horizontal_electric_field
deployment0002,2019-12-04T19:39:32,streamed,horizontal_electric_field,[],2 days 14:05:24,0 days 02:19:49,2,0,[0.0795],384,14148036,370,2900,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '98.27%'},"{'n_unique_rates': 58, 'common_sampling_rates': {'0': '98.27%'}}",[],[],"[['2015-07-29T23:57:33', '2015-08-01T00:03:32'], ['2016-07-23T01:35:25', '2016-08-02T18:35:52']]",2,12,unique and ascending not tested,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time']","missing: ['pressure', 'lon', 'lat']",[],deployment0002_RS01SLBS-LJ01A-05-HPIESA101-streamed-horizontal_electric_field
deployment0003,2019-12-04T19:39:32,streamed,horizontal_electric_field,[],0 days 00:09:29,0 days 00:35:08,0,0,"[0.0795, 0.0]",369,13336436,359,2900,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '99.18%'},"{'n_unique_rates': 68, 'common_sampling_rates': {'0': '99.18%'}}",[],[],"[['2017-01-09T18:29:51', '2017-01-17T19:55:02'], ['2017-02-15T14:41:37', '2017-02-16T22:11:26'], ['2017-07-29T03:19:14', '2017-08-02T21:54:12']]",3,13,unique and ascending not tested,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time']","missing: ['pressure', 'lon', 'lat']",[],deployment0003_RS01SLBS-LJ01A-05-HPIESA101-streamed-horizontal_electric_field
