dbar,parameter,count,mean,std,min,25%,50%,75%,max
"(14, 24]",parad_k_par,   0.000000,,,,,,,
"(24, 34]",parad_k_par,18351.000000,   9.835992,  14.932187,   0.035634,   0.864333,   3.764780,  12.466122, 139.257087
"(34, 44]",parad_k_par,8788.000000,   3.646530,   6.277203,   0.035634,   0.449984,   1.278683,   3.971955,  71.096584
"(44, 54]",parad_k_par,7412.000000,   1.673439,   2.771461,   0.035634,   0.242809,   0.864333,   1.693032,  33.183602
"(54, 64]",parad_k_par,5922.000000,   0.962953,   1.340996,   0.035634,   0.242809,   0.657158,   1.278683,  14.330694
"(64, 74]",parad_k_par,4975.000000,   0.677189,   0.781797,   0.035634,   0.242809,   0.449984,   0.864333,  19.302890
"(74, 84]",parad_k_par,4419.000000,   0.566909,   0.572582,   0.035634,   0.035634,   0.449984,   0.864333,  12.258948
"(84, 94]",parad_k_par,4172.000000,   0.567475,   0.970296,   0.035634,   0.035634,   0.449984,   0.864333,  29.661628
"(94, 104]",parad_k_par,4126.000000,   0.827930,   1.738909,   0.035634,   0.242809,   0.449984,   0.864333,  26.346831
"(104, 114]",parad_k_par,5337.000000,   2.692417,   4.753846,   0.035634,   0.242809,   0.864333,   2.728906,  48.721711
"(114, 124]",parad_k_par, 524.000000,   0.951710,   2.613581,   0.035634,   0.035634,   0.449984,   0.864333,  24.275083
