dbar,parameter,count,mean,std,min,25%,50%,75%,max
"(24, 25]",density,59595.000000,1025.946156,   0.404647,1025.082136,1025.702204,1025.987904,1026.232217,1026.872515
"(25, 26]",density,274336.000000,1025.916350,   0.436966,1024.920188,1025.530110,1025.985595,1026.252981,1026.907441
"(26, 27]",density,63323.000000,1026.121150,   0.464159,1025.085248,1025.920263,1026.201119,1026.465069,1026.913421
"(27, 28]",density,25506.000000,1026.226471,   0.442542,1025.089382,1026.000028,1026.339587,1026.604470,1026.912636
"(28, 29]",density,18168.000000,1026.185537,   0.445135,1025.094455,1025.979602,1026.273747,1026.565480,1026.916967
"(29, 30]",density,15371.000000,1026.163696,   0.440870,1025.099538,1025.961785,1026.249734,1026.495025,1026.922155
"(30, 31]",density,12428.000000,1026.112137,   0.455910,1025.102395,1025.825337,1026.175801,1026.484029,1026.925295
"(31, 32]",density,11149.000000,1026.070769,   0.450240,1025.108256,1025.762912,1026.121449,1026.408926,1026.934071
"(32, 33]",density,10561.000000,1026.058810,   0.448078,1025.110887,1025.734542,1026.111416,1026.406304,1026.937375
"(33, 34]",density,10631.000000,1026.064018,   0.447842,1025.116296,1025.734426,1026.116328,1026.418099,1026.942706
"(34, 35]",density,10326.000000,1026.068926,   0.453051,1025.120806,1025.715162,1026.118975,1026.423405,1026.946888
"(35, 36]",density,10361.000000,1026.077474,   0.454720,1025.125145,1025.730796,1026.126839,1026.433173,1026.952023
"(36, 37]",density,10442.000000,1026.088264,   0.456744,1025.130535,1025.730286,1026.136854,1026.446027,1026.955971
"(37, 38]",density,10278.000000,1026.097168,   0.455206,1025.134318,1025.747368,1026.149308,1026.454744,1026.967040
"(38, 39]",density,10282.000000,1026.102671,   0.454614,1025.138569,1025.750911,1026.155655,1026.459375,1026.971605
"(39, 40]",density,10281.000000,1026.109624,   0.456904,1025.143193,1025.744861,1026.168916,1026.467094,1026.975297
"(40, 41]",density,10124.000000,1026.119452,   0.454268,1025.146402,1025.765543,1026.180269,1026.475883,1026.979237
"(41, 42]",density,10120.000000,1026.124471,   0.455827,1025.151312,1025.759182,1026.193508,1026.484402,1026.984741
"(42, 43]",density,10114.000000,1026.135881,   0.456574,1025.155234,1025.771937,1026.206527,1026.494937,1026.989410
"(43, 44]",density,10151.000000,1026.150809,   0.457597,1025.157082,1025.798748,1026.225724,1026.508673,1026.993389
"(44, 45]",density,10169.000000,1026.160542,   0.459905,1025.162308,1025.800771,1026.241465,1026.523525,1026.999612
"(45, 46]",density,10107.000000,1026.171268,   0.459463,1025.166735,1025.821322,1026.254184,1026.531746,1027.003852
"(46, 47]",density,10060.000000,1026.177945,   0.460446,1025.170632,1025.803266,1026.266626,1026.541091,1027.009795
"(47, 48]",density,10189.000000,1026.195509,   0.462110,1025.174536,1025.838040,1026.286857,1026.557369,1027.013828
"(48, 49]",density,10103.000000,1026.205070,   0.462562,1025.178367,1025.841068,1026.304791,1026.565973,1027.018898
"(49, 50]",density,10056.000000,1026.210609,   0.461973,1025.181278,1025.837848,1026.312684,1026.572378,1027.023934
"(50, 51]",density,10094.000000,1026.223192,   0.463201,1025.184634,1025.844889,1026.328973,1026.586548,1027.026090
"(51, 52]",density,10127.000000,1026.235670,   0.465350,1025.187804,1025.862226,1026.344726,1026.602407,1027.030517
"(52, 53]",density,10067.000000,1026.246112,   0.465023,1025.190392,1025.869941,1026.361292,1026.612886,1027.036147
"(53, 54]",density,10038.000000,1026.257518,   0.465986,1025.193488,1025.877384,1026.378507,1026.625712,1027.044931
"(54, 55]",density,10064.000000,1026.272605,   0.465935,1025.199198,1025.890229,1026.400770,1026.640300,1027.046956
"(55, 56]",density,10123.000000,1026.284536,   0.468020,1025.199467,1025.897512,1026.419547,1026.656768,1027.055836
"(56, 57]",density,10075.000000,1026.295787,   0.467139,1025.203443,1025.908028,1026.436485,1026.668023,1027.056755
"(57, 58]",density,10034.000000,1026.307826,   0.466982,1025.220192,1025.918342,1026.452209,1026.682190,1027.059418
