common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,press_min_max,n_excluded_forpress,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev,note
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Practical Salinity,['1'],2015-02-20T00:45:01,2017-11-30T22:45:01,[-9999999.0],"[0.0, 42.0]",99450,"[160.02, 177.48]",35260,0,0,0,7,1,64189,34.1826,34.085,34.2831,0.0295,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Conductivity,['S m-1'],2015-02-20T00:45:01,2017-11-30T22:45:01,[-9999999.0],"[0.0, 6.0]",99450,"[160.02, 177.48]",35260,0,0,0,7,1,64189,3.3527,3.295,3.4223,0.0243,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Density,['kg m-3'],2015-02-20T00:45:01,2017-11-30T22:45:01,[-9999999.0],"[1000.0, 1100.0]",99450,"[160.02, 177.48]",35260,0,0,0,7,1,64189,1027.7379,1027.5781,1027.8325,0.0483,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Pressure,['dbar'],2015-02-20T00:45:01,2017-11-30T22:45:01,[-9999.0],"[0.0, 6000.0]",99450,"[160.02, 177.48]",35260,0,0,0,7,0,64190,174.1425,160.0165,177.4736,2.3107,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Temperature,['ºC'],2015-02-20T00:45:01,2017-11-30T22:45:01,[-9999999.0],"[-2.0, 40.0]",99450,"[160.02, 177.48]",35260,0,0,0,7,0,64190,5.7833,5.1764,6.6234,0.2808,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
