deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0002,2018-11-27T03:35:10,recovered_host,flord_g_ctdbp_p_dcl_instrument_recovered,['telemetered'],0 days 00:38:03,248 days 06:59:57,0,248,[],339,2008,86,40,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 14, 'common_sampling_rates': {'3600': '99.10%'}}",[],[],"[['2015-11-07T17:00:03', '2015-11-13T13:00:03']]",1,5,pass,1,{'99': 1},{'99': 1},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0002_GI01SUMO-RII11-02-FLORDG031-recovered_host-flord_g_ctdbp_p_dcl_instrument_recovered_20150815T200003-20151113T170003
deployment0003,2018-11-27T03:35:10,recovered_host,flord_g_ctdbp_p_dcl_instrument_recovered,['telemetered'],0 days 00:16:03,215 days 11:32:57,0,215,[6.0415],401,4372,185,40,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 16, 'common_sampling_rates': {'3600': '98.28%'}}",[],[],[],0,0,pass,1,{'0': 1},{'99': 1},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_GI01SUMO-RII11-02-FLORDG031-recovered_host-flord_g_ctdbp_p_dcl_instrument_recovered_20160710T180003-20170110T220003
deployment0004,2018-11-27T03:35:22,telemetered,flord_g_ctdbp_p_dcl_instrument,[],0 days 00:43:03,245 days 00:01:57,0,245,"[5.5968, 1.3947]",314,1612,69,40,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 10, 'common_sampling_rates': {'3600': '98.82%'}}",[],[],[],0,0,pass,1,{'99': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_GI01SUMO-RII11-02-FLORDG031-telemetered-flord_g_ctdbp_p_dcl_instrument_20170805T190003-20171012T080003
