common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,press_min_max,n_excluded_forpress,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev,note
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2]",Practical Salinity,['1'],2015-02-26T01:30:01,2016-12-06T09:00:01,[-9999999.0],"[0.0, 42.0]",62411,"[490.41, 508.22]",1490,0,0,0,,,60921,34.1915,34.1295,34.2387,0.011,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2]",Seawater Conductivity,['S m-1'],2015-02-26T01:30:01,2016-12-06T09:00:01,[-9999999.0],"[0.0, 6.0]",62411,"[490.41, 508.22]",1490,0,0,0,,,60921,3.3192,3.2744,3.3626,0.013,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2]",Seawater Density,['kg m-3'],2015-02-26T01:30:01,2016-12-06T09:00:01,[-9999999.0],"[1000.0, 1100.0]",62411,"[490.41, 508.22]",1490,0,0,0,,,60921,1029.3078,1029.2459,1029.3831,0.0246,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2]",Seawater Pressure,['dbar'],2015-02-26T01:30:01,2016-12-06T09:00:01,[-9999.0],"[0.0, 6000.0]",62411,"[490.41, 508.22]",1490,0,0,0,,,60921,499.0343,490.4115,508.2183,5.113,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2]",Seawater Temperature,['ºC'],2015-02-26T01:30:01,2016-12-06T09:00:01,[-9999999.0],"[-2.0, 40.0]",62411,"[490.41, 508.22]",1490,0,0,0,,,60921,5.2375,4.7958,5.6869,0.1367,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
