deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2018-12-12T16:44:07,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,['telemetered'],0 days 06:49:03,0 days 02:36:23,0,0,[],323,2905535,323,4061.0,3194.32,4142.28,4142,81.0,ctdpf_ckl_seawater_pressure,dbar,0,1,"{'n_unique_rates': 250, 'common_sampling_rates': {'1': '99.99%'}}",[],[],[],0,0,pass,5,{'99': 5},"{'99': 4, '25': 1}",fail: check ['Seawater Pressure'],pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0001_GP02HYPM-WFP03-04-CTDPFL000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered_20130726T150003-20140613T212337.998955
deployment0002,2018-12-12T16:44:07,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,['telemetered'],6 days 04:45:03,344 days 14:52:22,6,344,[0.9827],351,7649,1,4038.0,3130.97,4102.04,4102,64.0,ctdpf_ckl_seawater_pressure,dbar,0,1,"{'n_unique_rates': 1, 'common_sampling_rates': {'1': '100.00%'}}",[],[],[],0,0,pass,5,{'99': 5},{'99': 5},pass,pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0002_GP02HYPM-WFP03-04-CTDPFL000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered_20140622T070003-20140622T090738.998954
deployment0003,2018-12-12T16:44:07,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,['telemetered'],0 days 05:22:03,0 days 11:51:13,0,0,"[1.0736, 0.2198]",394,3555181,393,4070.0,3155.37,4142.23,4142,72.0,ctdpf_ckl_seawater_pressure,dbar,0,1,"{'n_unique_rates': 261, 'common_sampling_rates': {'1': '99.99%'}}",[],[],"[['2015-09-15T09:52:21', '2015-09-16T21:00:02']]",1,1,pass,5,{'99': 5},"{'99': 4, '25': 1}",fail: check ['Seawater Pressure'],pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0003_GP02HYPM-WFP03-04-CTDPFL000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered_20150605T050003-20160701T070447.998930
deployment0004,2018-12-12T16:44:07,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,['telemetered'],1 days 01:55:03,0 days 09:13:32,1,0,"[1.1437, 0.1613, 0.2159]",379,3408158,378,,3103.79,4065.55,4066,,ctdpf_ckl_seawater_pressure,dbar,0,1,"{'n_unique_rates': 295, 'common_sampling_rates': {'1': '99.99%'}}",[],[],[],0,0,pass,5,{'99': 5},"{'99': 4, '50': 1}",fail: check ['Seawater Pressure'],pass,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0004_GP02HYPM-WFP03-04-CTDPFL000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered_20160704T040003-20170716T060628.998813
deployment0005,2018-12-12T16:44:07,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,[],0 days 06:35:03,0 days 08:11:09,0,0,"[9.9336, 9.0877, 9.1412, 8.9584]",377,3322467,376,,3090.07,4067.79,4068,,ctdpf_ckl_seawater_pressure,dbar,33057,1,"{'n_unique_rates': 257, 'common_sampling_rates': {'1': '99.99%'}}",[],[],[],0,0,pass,5,{'99': 5},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lat', 'lon']",pass,[],deployment0005_GP02HYPM-WFP03-04-CTDPFL000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered_20170716T040003-20180726T140351.998787
