deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2018-12-13T02:07:29,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 00:53:00,0 days 00:37:00,0,0,[],170,4056,170,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '14.57%', 3599: '26.29%', 3600: '27.77%', 3601: '16.77%'}","{'n_unique_rates': 10, 'common_sampling_rates': {'3598': '14.57%', '3599': '26.29%', '3600': '27.77%', '3601': '16.77%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE09OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20150409T182300.034000-20150925T172300.886000
deployment0002,2018-12-13T02:07:29,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 00:16:59,0 days 00:05:01,0,0,[0.3178],206,4913,206,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3599: '29.25%', 3600: '25.55%', 3601: '24.00%'}","{'n_unique_rates': 9, 'common_sampling_rates': {'3599': '29.25%', '3600': '25.55%', '3601': '24.00%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE09OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20151015T232259.110000-20160507T152259.334000
deployment0003,2018-12-13T02:07:29,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 01:38:01,0 days 00:11:56,0,0,"[0.2299, 0.538]",134,3189,134,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '10.79%', 3599: '23.02%', 3600: '27.23%', 3601: '23.34%'}","{'n_unique_rates': 32, 'common_sampling_rates': {'3598': '10.79%', '3599': '23.02%', '3600': '27.23%', '3601': '23.34%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE09OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20160512T192301.441000-20160922T152304.895000
deployment0004,2018-12-13T02:07:29,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 00:56:58,0 days 00:53:53,0,0,"[1.122, 1.3964, 0.8987]",206,4861,203,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '10.76%', 3599: '20.16%', 3600: '34.12%', 3601: '16.77%', 3602: '11.05%'}","{'n_unique_rates': 26, 'common_sampling_rates': {'3598': '10.76%', '3599': '20.16%', '3600': '34.12%', '3601': '16.77%', '3602': '11.05%'}}",[],[],"[['2016-10-01T23:23:02', '2016-10-03T00:23:01'], ['2016-11-28T23:23:01', '2016-11-30T00:23:02'], ['2016-12-01T23:23:01', '2016-12-03T00:23:00']]",3,3,pass,12,{'99': 12},{'99': 12},pass,fail: data found in another stream (gaps: [3] days: [3]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE09OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20160921T022258.807000-20170414T142307.457000
deployment0005,2018-12-13T02:07:29,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 01:23:46,0 days 00:42:18,0,0,"[0.1348, 0.382, 0.1766, 1.0186]",178,4270,178,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3599: '25.11%', 3600: '29.44%', 3601: '23.03%'}","{'n_unique_rates': 10, 'common_sampling_rates': {'3599': '25.11%', '3600': '29.44%', '3601': '23.03%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CE09OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20170412T020746.216000-20171006T230747.137000
deployment0006,2018-12-13T02:07:29,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 00:47:20,0 days 00:51:57,0,0,"[2.0957, 2.3627, 1.8728, 0.9741, 1.9892]",178,4243,177,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3599: '22.07%', 3600: '37.06%', 3601: '14.52%', 3602: '12.00%'}","{'n_unique_rates': 9, 'common_sampling_rates': {'3599': '22.07%', '3600': '37.06%', '3601': '14.52%', '3602': '12.00%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0006_CE09OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20171005T002258.480000-20180330T182303.621000
deployment0007,2018-12-13T02:08:43,telemetered,wavss_a_dcl_statistics,[],0 days 01:44:04,40 days 12:16:58,0,40,"[0.1001, 0.3053, 0.2417, 1.0954, 0.0771, 2.0655]",178,1401,63,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3599: '29.21%', 3600: '18.79%', 3601: '26.71%'}","{'n_unique_rates': 31, 'common_sampling_rates': {'3599': '29.21%', '3600': '18.79%', '3601': '26.71%'}}",[],[],"[['2018-04-27T17:58:04', '2018-05-25T17:23:04'], ['2018-06-20T15:58:02', '2018-07-12T23:58:02'], ['2018-07-12T23:58:02', '2018-08-09T22:58:03']]",3,76,pass,12,{'99': 12},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0007_CE09OSSM-SBD12-05-WAVSSA000-telemetered-wavss_a_dcl_statistics_20180326T032304.716000-20180810T015802.181000
