deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-07-09T20:11:03,telemetered,spkir_abj_dcl_instrument,[],0 days 00:08:14,1 days 08:56:44,0,1,[],17,196332,15,7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 20, 'common_sampling_rates': {'1': '94.93%'}}",[],[],[],0,0,pass,1,{'50': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0001_CP03ISSM-RID26-08-SPKIRB000-telemetered-spkir_abj_dcl_instrument_20141214T190014.739000-20141228T150316.075000
deployment0002,2019-07-09T20:11:02,recovered_host,spkir_abj_dcl_instrument_recovered,['telemetered'],0 days 00:03:14,22 days 23:01:59,0,22,[0.6433],166,10362641,90,7,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '99.91%'},"{'n_unique_rates': 36, 'common_sampling_rates': {'0': '99.91%'}}",[],[],"[['2015-06-25T03:48:00', '2015-08-13T18:15:12'], ['2015-09-18T18:03:15', '2015-09-24T01:00:13'], ['2015-09-26T17:48:00', '2015-09-27T19:30:13']]",3,55,pass unique test - ascending not tested,1,{'75': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],['multiple deployment .nc files'],deployment0002_CP03ISSM-RID26-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered
deployment0003,2019-07-09T20:11:02,recovered_host,spkir_abj_dcl_instrument_recovered,['telemetered'],0 days 00:01:14,0 days 02:26:59,0,0,"[0.8775, 0.6346]",207,3288523,207,7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 27, 'common_sampling_rates': {'1': '93.63%'}}",[],[],[],0,0,pass,1,{'50': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_CP03ISSM-RID26-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered_20151021T174514.266000-20160514T111801.670000
deployment0004,2019-07-09T20:11:02,recovered_host,spkir_abj_dcl_instrument_recovered,['telemetered'],0 days 00:02:14,0 days 00:56:00,0,0,"[0.6208, 0.0255, 0.6456]",141,2037719,141,7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 28, 'common_sampling_rates': {'1': '94.20%'}}",[],[],[],0,0,pass,1,{'75': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_CP03ISSM-RID26-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered_20160528T144514.449000-20161015T111800.750000
deployment0005,2019-07-09T20:11:02,recovered_host,spkir_abj_dcl_instrument_recovered,['telemetered'],0 days 00:06:13,0 days 00:07:58,0,0,"[0.0419, 0.6516, 0.9125, 0.6284]",248,3408144,248,7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 22, 'common_sampling_rates': {'1': '93.84%'}}",[],[],[],0,0,pass,1,{'50': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0005_CP03ISSM-RID26-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered_20161011T134513.749000-20170615T154802.700000
deployment0006,2019-07-09T20:11:02,recovered_host,spkir_abj_dcl_instrument_recovered,['telemetered'],0 days 00:02:13,0 days 01:14:00,0,0,"[0.6008, 0.9005, 0.6361, 0.892, 0.6419]",140,1942862,122,7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 19, 'common_sampling_rates': {'1': '93.34%'}}",[],[],"[['2017-07-17T23:48:02', '2017-07-19T00:00:15'], ['2017-08-15T23:48:00', '2017-08-30T15:15:13'], ['2017-09-11T23:48:00', '2017-09-13T00:00:12'], ['2017-09-14T23:48:00', '2017-09-16T00:00:12'], ['2017-10-01T23:48:01', '2017-10-03T00:00:13']]",5,18,pass,1,{'75': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0006_CP03ISSM-RID26-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered_20170615T134513.188000-20171101T130300.645000
deployment0007,2019-07-09T20:11:02,recovered_host,spkir_abj_dcl_instrument_recovered,['telemetered'],0 days 00:08:11,0 days 01:52:58,0,0,"[0.6854, 0.0581, 0.6792, 0.0699, 0.6912, 0.9585]",148,2280219,142,7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 18, 'common_sampling_rates': {'1': '94.15%'}}",[],[],"[['2018-01-11T23:48:02', '2018-01-18T00:00:12']]",1,6,pass,1,{'75': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0007_CP03ISSM-RID26-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered_20171101T123011.777000-20180328T150302.318000
