dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(335, 340]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55873.000000, 135.577579,  16.686412,  90.978202, 128.429290, 139.036155, 147.150280, 174.899898
"(340, 345]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",56667.000000, 136.810365,  17.070873,  91.485746, 129.096138, 140.180413, 148.984535, 176.220953
"(345, 350]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55670.000000, 138.294384,  17.614699,  93.103373, 129.721478, 142.041464, 150.970568, 176.792665
"(350, 355]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55382.000000, 139.749056,  18.106055,  94.127407, 130.583559, 143.559399, 152.888665, 178.006133
"(355, 360]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55411.000000, 141.250751,  18.512337,  96.340405, 131.270366, 145.305415, 154.887635, 178.814701
"(360, 365]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55092.000000, 142.898171,  18.974065,  94.400807, 132.144165, 147.253268, 156.850269, 180.934498
"(365, 370]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55174.000000, 144.561674,  19.386414,  94.348456, 133.121141, 149.396599, 159.084161, 182.468233
"(370, 375]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55147.000000, 146.255677,  19.804123,  94.801089, 133.843415, 151.537418, 161.174967, 184.420540
"(375, 380]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55260.000000, 147.870781,  20.173639,  96.203811, 135.039763, 153.499506, 162.969958, 185.791699
"(380, 385]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55255.000000, 149.590095,  20.455349,  93.654971, 136.558113, 155.342887, 164.948515, 187.477093
"(385, 390]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",54723.000000, 151.335516,  20.861840,  93.894476, 137.799324, 157.635807, 167.011517, 189.056414
"(390, 395]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",55182.000000, 152.876483,  21.061694,  94.453545, 139.329801, 159.292002, 168.740695, 189.384170
"(395, 400]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",54806.000000, 154.770569,  21.353511,  97.480339, 141.303926, 161.531101, 170.813420, 191.753947
"(400, 405]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",54117.000000, 156.440673,  21.744410,  98.527792, 142.774897, 163.374233, 172.735215, 194.526345
"(405, 410]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",57515.000000, 158.210046,  21.708113,  97.695114, 145.348859, 164.813533, 174.440219, 196.647271
"(410, 415]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",61965.000000, 160.316065,  21.704356,  98.453984, 148.199335, 166.518111, 176.675994, 199.294284
"(415, 420]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",66572.000000, 163.296853,  21.438080, 101.844984, 153.592043, 170.589513, 178.603869, 202.888110
"(420, 425]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",352406.000000, 161.285239,  23.249790, 100.281161, 144.274915, 169.080353, 179.073053, 203.105807
"(425, 430]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",2132.000000, 155.201826,  23.907007, 105.731215, 146.678194, 164.069907, 175.134057, 183.967460
"(430, 435]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10", 275.000000, 180.112364,   3.914270, 175.218443, 176.510997, 176.620105, 184.226496, 184.558776
