common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,press_min_max,n_excluded_forpress,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev,note
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Practical Salinity,['1'],2015-03-17T21:00:01,2018-01-09T10:45:01,[-9999999.0],"[0.0, 42.0]",98995,"[331.14, 405.03]",3887,0,0,0,8,25,95083,34.1885,32.7993,35.4334,0.1727,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Conductivity,['S m-1'],2015-03-17T21:00:01,2018-01-09T10:45:01,[-9999999.0],"[0.0, 6.0]",98995,"[331.14, 405.03]",3887,0,0,0,8,0,95108,3.2792,3.1087,4.1238,0.1241,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Density,['kg m-3'],2015-03-17T21:00:01,2018-01-09T10:45:01,[-9999999.0],"[1000.0, 1100.0]",98995,"[331.14, 405.03]",3887,0,0,0,8,55,95053,1028.7206,1028.1051,1029.011,0.0732,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Pressure,['dbar'],2015-03-17T21:00:01,2018-01-09T10:45:01,[-9999.0],"[0.0, 6000.0]",98995,"[331.14, 405.03]",3887,0,0,0,8,0,95108,362.771,346.6479,405.0211,11.3128,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Temperature,['ºC'],2015-03-17T21:00:01,2018-01-09T10:45:01,[-9999999.0],"[-2.0, 40.0]",98995,"[331.14, 405.03]",3887,0,0,0,8,0,95108,4.8468,3.0493,12.6686,1.172,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
