array,platform,deploymentNumber,deployment,CTD_CruiseName,CTD_CruiseLeg,CTD_cast,CTD_Date,CTD_lat,CTD_lon,alfresco_location_primary,Quick_Look,Cruise_Report,CTD_cast_file,CTDlog,Chla,Nutrients,DIC_TA_pH
Coastal_Pioneer,CP01CNSM,2.0,D00002,Pioneer03_Leg2,,,,,,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-03_Leg-2_KN-224_2014-12-10/,3204-00305_Quick_Look_Cruise_Report_Coastal_Pioneer_3_Leg_2_2014-12-30_Ver_1-00.pdf,missing,,missing,Ship Data/Water Sampling/Pioneer-3_KN-224_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-3_KN224_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,2.0,R00002,Pioneer03_Leg2,,,,,,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-03_Leg-2_KN-224_2014-12-10/,3204-00305_Quick_Look_Cruise_Report_Coastal_Pioneer_3_Leg_2_2014-12-30_Ver_1-00.pdf,missing,,missing,Ship Data/Water Sampling/Pioneer-3_KN-224_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-3_KN224_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,3.0,D00003,Pioneer04,AT-27B,2.0,2015-05-07T22:06:55,40.13666667,-70.775,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-04_AT-27_2015-04-28/,3204-00402_Quick_Look_Cruise_Report_Coastal_Pioneer_4_2015-05-14_Ver_1-00.pdf,missing,Ship Data/Leg 2 (at27b)/ctd/process/at27b_002.cnv,Ship Data/Water Sampling/Pioneer-4_AT-27B_Sampling_Log.xlsx,Ship Data/Water Sampling/Pioneer-4_AT-27B_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-4_AT-27B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,3.0,D00003,Pioneer04,AT-27B,10.0,2015-05-12T17:39:29,40.13683333,-70.7755,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-04_AT-27_2015-04-28/,3204-00402_Quick_Look_Cruise_Report_Coastal_Pioneer_4_2015-05-14_Ver_1-00.pdf,missing,Ship Data/Leg 2 (at27b)/ctd/process/at27b010.cnv,Ship Data/Water Sampling/Pioneer-4_AT-27B_Sampling_Log.xlsx,Ship Data/Water Sampling/Pioneer-4_AT-27B_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-4_AT-27B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,3.0,R00003,Pioneer05,AT-31B,4.0,2015-10-23T19:07:32,40.13666667,-70.77583333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05_AT-31_2015-10-11/,3204-00502_Quick_Look_Cruise_Report_Coastal_Pioneer_5_2016-01-22_Ver_1-00.pdf,missing,Ship Data/Leg 2 (at31b)/ctd/process/at31b_004.cnv,Ship Data/Water Sampling/PIONEER-5_AT-31B_CTD_sampling_logs.xlsx,Ship Data/Water Sampling/Pioneer-5_AT-31B_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-5_AT-31B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,3.0,R00003,Pioneer05,AT-31C,4.0,2015-10-28T16:05:38,40.13683333,-70.77516667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05_AT-31_2015-10-11/,3204-00502_Quick_Look_Cruise_Report_Coastal_Pioneer_5_2016-01-22_Ver_1-00.pdf,missing,Ship Data/Leg 3 (at31c)/ctd/process/at31c_004.cnv,Ship Data/Water Sampling/PIONEER-5_AT-31C_CTD_sampling_logs.xlsx,Ship Data/Water Sampling/no_samples,Ship Data/Water Sampling/no_samples,Ship Data/Water Sampling/no_samples
Coastal_Pioneer,CP01CNSM,4.0,D00004,Pioneer05,AT-31B,4.0,2015-10-23T19:07:32,40.13666667,-70.77583333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05_AT-31_2015-10-11/,3204-00502_Quick_Look_Cruise_Report_Coastal_Pioneer_5_2016-01-22_Ver_1-00.pdf,missing,Ship Data/Leg 2 (at31b)/ctd/process/at31b_004.cnv,Ship Data/Water Sampling/PIONEER-5_AT-31B_CTD_sampling_logs.xlsx,Ship Data/Water Sampling/Pioneer-5_AT-31B_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-5_AT-31B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,4.0,D00004,Pioneer05,AT-31C,4.0,2015-10-28T16:05:38,40.13683333,-70.77516667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05_AT-31_2015-10-11/,3204-00502_Quick_Look_Cruise_Report_Coastal_Pioneer_5_2016-01-22_Ver_1-00.pdf,missing,Ship Data/Leg 3 (at31c)/ctd/process/at31c_004.cnv,Ship Data/Water Sampling/PIONEER-5_AT-31C_CTD_sampling_logs.xlsx,Ship Data/Water Sampling/no_samples,Ship Data/Water Sampling/no_samples,Ship Data/Water Sampling/no_samples
Coastal_Pioneer,CP01CNSM,4.0,R00004,SVC-III,,1.0,2016-04-04T11:31:00,,,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-SVC-III_AR-1-07_2016-04-02/,3204-00507_Quick_Look_Cruise_Report_Coastal_Pioneer_SVC-III_2016-05-02_Ver_1-00.pdf,not_expected,missing,missing,Ship Data/Water Sampling/Pioneer-SVCIII_AR01-07_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-SVCIII_AR01-07_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,5.0,D00005,Pioneer06,AR-04A,1.0,2016-05-13T15:08:29,40.13666667,-70.7715,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-06_AR-04_2016-05-12/,3204-00602_Quick_Look_Cruise_Report_Coastal_Pioneer_6_2016-06-21_Ver_1-00.pdf,missing,Ship Data/Leg 1 (ar04a)/ctd/process/ar04a001.cnv,Ship Data/Water Sampling/CTD_sampling_log-AR-04A.xlsx,Ship Data/Water Sampling/Pioneer-6_AR-04A_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-6_AR-04A_Nutrient_Lab_Results.xlsx,missing
