deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,filename
deployment0001,2018-10-26T12:33:36,recovered_inst,ctdmo_ghqr_instrument_recovered,['recovered_host'],0 days 00:01:01,0 days 00:14:59,0,0,[],329,31493,329,28.0,15.2629,-12.7371,ctdmo_seawater_pressure,dbar,36,"{u'common_sampling_rates': {u'900': u'99.96%'}, u'n_unique_rates': 3}",[],[],[],0,0,pass,5,{'99': 5},{'99': 5},pass,pass,"[u'obs', u'time', u'pressure', u'lat', u'lon']",pass,deployment0001_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0002,2018-10-26T12:33:54,telemetered,ctdmo_ghqr_sio_mule_instrument,[],0 days 18:00:01,195 days 07:59:59,0,195,[0.6154],353,914,157,28.0,11.6898,-16.3102,ctdmo_seawater_pressure,dbar,5,"{u'common_sampling_rates': {u'14400': u'98.80%'}, u'n_unique_rates': 4}",[],[],[],0,0,pass,5,{'99': 5},no other streams for comparison,no other streams for comparison,no other streams for comparison,"[u'obs', u'time', u'pressure', u'lat', u'lon']",pass,deployment0002_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20140618T000001-20141121T160001.nc
deployment0003,2018-10-26T12:33:36,recovered_inst,ctdmo_ghqr_instrument_recovered,"['telemetered', 'recovered_host']",0 days 00:05:01,0 days 00:09:59,0,0,"[0.6529, 0.089]",389,37234,389,48.0,32.5404,-15.4596,ctdmo_seawater_pressure,dbar,62,"{u'common_sampling_rates': {u'900': u'99.96%'}, u'n_unique_rates': 3}",[],[],[],0,0,pass,5,{'99': 5},{'99': 10},pass,pass,"[u'obs', u'time', u'pressure', u'lat', u'lon']",pass,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20150606T224501-20160628T190001.nc
deployment0004,2018-10-26T12:33:36,recovered_inst,ctdmo_ghqr_instrument_recovered,"['telemetered', 'recovered_host']",0 days 00:08:01,0 days 00:12:59,0,0,"[1.1589, 0.5585, 0.5065]",383,36728,383,,41.8814,no deploy depth in AM,ctdmo_seawater_pressure,dbar,220,"{u'common_sampling_rates': {u'900': u'99.98%'}, u'n_unique_rates': 3}",[],[],[],0,0,pass,5,{'99': 5},{'99': 10},pass,pass,"[u'obs', u'time', u'pressure', u'lat', u'lon']",pass,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0005,2018-10-26T12:33:36,recovered_inst,ctdmo_ghqr_instrument_recovered,['recovered_host'],0 days 00:00:01,0 days 00:13:59,0,0,"[9.0637, 9.6685, 9.7153, 10.2218]",380,35581,373,,40.2048,no deploy depth in AM,ctdmo_seawater_pressure,dbar,126,"{u'common_sampling_rates': {u'900': u'99.96%'}, u'n_unique_rates': 4}",[],[],"[[u'2017-10-28T05:00:01', u'2017-11-05T13:15:01']]",1,8,pass,5,{'99': 5},{'99': 5},pass,fail: data found in another stream (gaps: [1] days: [9]),"[u'obs', u'time', u'pressure', u'lat', u'lon']",pass,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
