deployment,file_downloaded,method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,mean,min,max,stdev,filename
deployment0003,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,37234,0,0,0,37234,8.9599,5.8472,15.2991,2.3917,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20150606T224501-20160628T190001.nc
deployment0003,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,37234,21,0,0,37213,32.5454,27.4722,39.2834,1.2134,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20150606T224501-20160628T190001.nc
deployment0003,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,37234,18,0,0,37216,1025.3486,1023.4499,1026.6853,0.4492,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20150606T224501-20160628T190001.nc
deployment0003,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,practical_salinity,1,-9999999.0,37143,8,0,0,37135,32.5749,31.2821,33.8031,0.1021,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20150606T224501-20160627T220001.nc
deployment0003,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_conductivity,S m-1,-9999999.0,37143,2,0,0,37141,3.4818,3.1899,4.0352,0.2066,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20150606T224501-20160627T220001.nc
deployment0003,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_temperature,ºC,-9999999.0,37143,0,0,0,37143,8.9576,5.8473,15.299,2.3932,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20150606T224501-20160627T220001.nc
deployment0003,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_pressure,dbar,-9999.0,37143,9,0,0,37134,32.5347,27.4596,38.9535,1.2114,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20150606T224501-20160627T220001.nc
deployment0003,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,density,kg m-3,-9999999.0,37143,2,0,0,37141,1025.3488,1023.4498,1026.6852,0.4494,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20150606T224501-20160627T220001.nc
deployment0004,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,practical_salinity,1,-9999999.0,20,0,0,0,20,32.7132,32.6448,32.7467,0.0239,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20160701T040001-20160710T120001.nc
deployment0004,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_conductivity,S m-1,-9999999.0,20,0,0,0,20,3.4299,3.3765,3.5307,0.043,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20160701T040001-20160710T120001.nc
