,parameter,deployments,count,mean,std,min,25%,50%,75%,max
14,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",240562.000000,1027.058299,   0.172497,1026.105903,1026.967122,1027.086541,1027.184574,1027.397941
15,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",240842.000000,1027.143795,   0.161882,1026.295948,1027.058232,1027.172577,1027.263119,1027.459556
16,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",241262.000000,1027.224315,   0.152390,1026.432557,1027.144163,1027.252087,1027.337143,1027.520207
17,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",240097.000000,1027.301785,   0.143944,1026.496680,1027.226665,1027.329344,1027.408701,1027.572497
18,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",239768.000000,1027.376109,   0.136399,1026.594240,1027.306101,1027.402456,1027.476541,1027.635463
19,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",240901.000000,1027.448060,   0.129147,1026.681588,1027.381306,1027.473087,1027.542240,1027.694153
20,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",238253.000000,1027.518859,   0.123012,1026.787537,1027.457820,1027.543053,1027.606906,1027.749572
21,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",238053.000000,1027.587129,   0.116958,1026.853107,1027.529642,1027.609373,1027.669868,1027.820618
22,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",238030.000000,1027.654361,   0.111330,1026.461739,1027.599900,1027.674410,1027.732797,1027.881009
23,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",237725.000000,1027.720043,   0.106115,1027.026543,1027.668556,1027.737506,1027.794574,1027.935170
24,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",237478.000000,1027.784442,   0.101360,1026.139231,1027.734922,1027.799644,1027.855693,1027.997727
25,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",237019.000000,1027.848089,   0.096812,1027.202583,1027.799680,1027.860896,1027.917034,1028.083932
