,parameter,deployments,count,mean,std,min,25%,50%,75%,max
0,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",   0.000000,,,,,,,
1,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",2271.000000,   1.696745,   0.257291,   1.016400,   1.495800,   1.626000,   1.828200,   2.531200
2,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",31605.000000,   1.612756,   0.219221,   0.632800,   1.452800,   1.578900,   1.745100,   2.715000
3,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",42919.000000,   1.601191,   0.204014,   1.089000,   1.452800,   1.578900,   1.725200,   2.986500
4,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",42053.000000,   1.618900,   0.198580,   1.089000,   1.463400,   1.626000,   1.745100,   2.715000
5,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",41880.000000,   1.668484,   0.197937,   1.089000,   1.538500,   1.662000,   1.816000,   2.353000
6,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",41478.000000,   1.722372,   0.193830,   1.089000,   1.578900,   1.725200,   1.869900,   2.624500
7,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40983.000000,   1.776629,   0.185895,   1.234200,   1.634400,   1.810000,   1.906800,   2.534000
8,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",41049.000000,   1.830832,   0.180342,   1.306800,   1.707300,   1.828200,   1.951200,   2.534000
9,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40193.000000,   1.875112,   0.177775,   1.379400,   1.747500,   1.900500,   1.994400,   3.167500
10,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40634.000000,   1.914674,   0.177046,   0.000000,   1.816000,   1.911300,   2.032500,   2.715000
11,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40829.000000,   1.946325,   0.172666,   0.000000,   1.828200,   1.951200,   2.077500,   2.624500
12,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40628.000000,   1.971666,   0.170951,   1.452000,   1.869900,   1.991000,   2.081500,   2.715000
13,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40489.000000,   1.994430,   0.171311,   1.524600,   1.900500,   1.997600,   2.088400,   2.715000
14,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40579.000000,   2.014593,   0.171110,   1.524600,   1.906800,   2.032500,   2.113800,   2.715000
15,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40468.000000,   2.029928,   0.167297,   0.000000,   1.906800,   2.032500,   2.160600,   2.715000
16,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39196.000000,   2.048817,   0.166342,   0.000000,   1.951200,   2.077500,   2.172000,   3.077000
17,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40454.000000,   2.057547,   0.167069,   0.000000,   1.951200,   2.081500,   2.172000,   2.715000
18,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40340.000000,   2.072864,   0.163296,   1.597200,   1.991000,   2.081500,   2.179200,   2.715000
19,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40088.000000,   2.082308,   0.166347,   0.000000,   1.991000,   2.088400,   2.179200,   2.715000
20,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39849.000000,   2.096253,   0.168235,   1.597200,   1.994400,   2.113800,   2.195100,   2.805500
21,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39833.000000,   2.107459,   0.168417,   1.597200,   1.997600,   2.113800,   2.243700,   3.258000
22,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39300.000000,   2.120541,   0.164736,   1.597200,   2.032500,   2.160600,   2.243700,   2.805500
