common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,press_min_max,n_excluded_forpress,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev,note
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Practical Salinity,['1'],2015-03-21T03:30:01,2018-01-12T10:45:01,[-9999999.0],"[0.0, 42.0]",98447,"[157.55, 234.68]",5108,0,0,0,,,93339,34.4558,33.102,35.4387,0.2092,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Conductivity,['S m-1'],2015-03-21T03:30:01,2018-01-12T10:45:01,[-9999999.0],"[0.0, 6.0]",98447,"[157.55, 234.68]",5108,0,0,0,,,93339,3.5536,3.1762,4.1439,0.1253,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Density,['kg m-3'],2015-03-21T03:30:01,2018-01-12T10:45:01,[-9999999.0],"[1000.0, 1100.0]",98447,"[157.55, 234.68]",5108,0,0,0,,,93339,1027.7505,1026.6949,1028.102,0.1311,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Pressure,['dbar'],2015-03-21T03:30:01,2018-01-12T10:45:01,[-9999.0],"[0.0, 6000.0]",98447,"[157.55, 234.68]",5108,0,0,0,,,93339,189.9407,170.4604,234.6718,11.4626,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
science_data_stream,['recovered_inst-ctdmo_ghqr_instrument_recovered'],"[1, 2, 3]",Seawater Temperature,['ºC'],2015-03-21T03:30:01,2018-01-12T10:45:01,[-9999999.0],"[-2.0, 40.0]",98447,"[157.55, 234.68]",5108,0,0,0,,,93339,7.7112,3.8981,12.9258,1.1818,restricted stats calculation to data points where pressure is within defined ranges (average of all pressure data +/- 1 SD)
