dbar,parameter,count,mean,std,min,25%,50%,75%,max
"(104, 114]",total_volume_scattering_coefficient,15436.000000,   0.001376,   0.001377,   0.000104,   0.000496,   0.000959,   0.001615,   0.008509
"(114, 124]",total_volume_scattering_coefficient,2053.000000,   0.001520,   0.001321,   0.000122,   0.000632,   0.001122,   0.001826,   0.007782
"(14, 24]",optical_backscatter,   0.000000,,,,,,,
"(24, 34]",optical_backscatter,30261.000000,   0.008420,   0.008604,   0.000824,   0.002771,   0.006103,   0.008853,   0.056164
"(34, 44]",optical_backscatter,17121.000000,   0.008250,   0.008707,   0.000704,   0.002490,   0.005962,   0.008532,   0.056907
"(44, 54]",optical_backscatter,16973.000000,   0.008118,   0.008792,   0.000704,   0.002249,   0.005782,   0.008351,   0.055823
"(54, 64]",optical_backscatter,16749.000000,   0.008044,   0.008825,   0.000623,   0.001988,   0.005661,   0.008371,   0.054438
"(64, 74]",optical_backscatter,16523.000000,   0.007965,   0.008866,   0.000623,   0.001898,   0.005581,   0.008391,   0.056886
"(74, 84]",optical_backscatter,16302.000000,   0.007929,   0.008797,   0.000643,   0.001913,   0.005581,   0.008632,   0.055742
"(84, 94]",optical_backscatter,16104.000000,   0.008033,   0.008878,   0.000663,   0.001968,   0.005641,   0.009114,   0.056023
"(94, 104]",optical_backscatter,15795.000000,   0.008393,   0.009058,   0.000663,   0.002249,   0.005802,   0.009897,   0.055843
"(104, 114]",optical_backscatter,15436.000000,   0.009287,   0.009306,   0.000683,   0.003333,   0.006464,   0.010900,   0.057509
"(114, 124]",optical_backscatter,2053.000000,   0.010258,   0.008931,   0.000804,   0.004256,   0.007568,   0.012325,   0.052591
